Default Dataset,
X,Y
0,0.9987951807228912
10.555946516537645,0.6186641004553044
14.778325123152698,0.45661166834826983
21.11189303307529,0.3855209719949465
25.756509500351868,0.33973317619528065
30.401125967628417,0.30599357316669906
34.62350457424348,0.28068812901147144
40.53483462350458,0.258995446953189
46.44616467276565,0.24151963236478635
50.6685432793807,0.225250332787872
56.157635467980285,0.21018458068728096
60.380014074595366,0.19933696785735466
64.60239268121039,0.18848935502742836
71.35819845179451,0.17522956004171486
80.64743138634763,0.1619672214544312
88.24771287825475,0.14991139787863617
100.07037297677691,0.13905615424399909
109.35960591133004,0.1306130927651491
116.95988740323718,0.12337654629778771
125.40464461646725,0.11734397124034479
134.69387755102042,0.11131054831571174
144.82758620689657,0.10527627752388846
154.96129486277266,0.10044682600917387
165.0950035186488,0.09561737449445906
175.22871217452501,0.09199274225685272
187.05137227304715,0.08836641428486636
199.7185080928923,0.08473923844568976
213.23011963406054,0.08111121473932315
226.74173117522872,0.07748319103295653
239.40886699507388,0.0750608344708883
252.49824067558058,0.07324046361377934
266.00985221674875,0.0708172591845212
279.9437016185785,0.06839363082166794
294.2997888810697,0.06717439780232803
307.81140042223785,0.0641487837345156
323.8564391273751,0.06232544534224138
339.05700211118926,0.059900545178603215
355.1020408163265,0.058077206786328994
372.8360309641098,0.056252172659674526
391.4144968332161,0.054426290665830046
407.45953553835324,0.053205361912110005
424.771287825475,0.051983161357604946
439.5496129486277,0.050161094766115855
455.17241379310343,0.049542999584545
472.9064039408866,0.048320375096444934
491.9071076706545,0.04709647880755963
509.6410978184377,0.04587385431945945
525.6861365235749,0.0446529255657393
543.4201266713582,0.04282789143908494
561.1541168191413,0.04160526695098454
578.0436312456017,0.04098589996862878
594.5109078114004,0.04036695691986791
